lon	lat	depth
-124.392769	42.106245	-21.627948
-124.386729	42.106253	-21.750473
-124.380689	42.106260	-21.873033
-124.374649	42.106266	-21.995894
-124.368608	42.106273	-22.119005
-124.362568	42.106279	-22.241591
-124.622323	42.110224	-17.915908
-124.616283	42.110244	-17.966721
-124.610242	42.110263	-18.001543
-124.604202	42.110282	-18.040784
-124.598161	42.110300	-18.080028
-124.592121	42.110318	-18.111748
-124.586080	42.110336	-18.137152
-124.580040	42.110354	-18.171590
-124.573999	42.110371	-18.204983
-124.567959	42.110388	-18.235456
-124.561918	42.110404	-18.265930
-124.555877	42.110421	-18.304770
-124.549837	42.110437	-18.355922
-124.543796	42.110452	-18.407264
-124.537756	42.110468	-18.458608
-124.531715	42.110483	-18.538988
-124.525675	42.110497	-18.628358
-124.519634	42.110512	-18.717737
-124.513593	42.110526	-18.825111
-124.507553	42.110539	-18.957785
-124.501512	42.110553	-19.090475
-124.495471	42.110566	-19.229470
-124.489431	42.110579	-19.401961
-124.483390	42.110591	-19.539542
-124.477350	42.110603	-19.677138
-124.471309	42.110615	-19.840413
-124.465268	42.110626	-20.007004
-124.459228	42.110638	-20.141810
-124.453187	42.110648	-20.286640
-124.447146	42.110659	-20.437745
-124.441106	42.110669	-20.588889
-124.435065	42.110679	-20.723095
-124.429024	42.110689	-20.861981
-124.422983	42.110698	-21.000896
-124.416943	42.110707	-21.139860
-124.410902	42.110716	-21.266325
-124.404861	42.110724	-21.392809
-124.398821	42.110732	-21.519316
-124.392780	42.110740	-21.646177
-124.386739	42.110747	-21.765608
-124.380699	42.110754	-21.885073
-124.374658	42.110761	-22.004724
-124.368617	42.110767	-22.124530
-124.362576	42.110773	-22.244318
-124.622351	42.114719	-17.942624
-124.616310	42.114738	-17.993798
-124.610269	42.114757	-18.028713
-124.604228	42.114776	-18.068454
-124.598187	42.114795	-18.108199
-124.592146	42.114813	-18.140256
-124.586105	42.114831	-18.165859
-124.580064	42.114848	-18.201498
-124.574023	42.114865	-18.236044
-124.567982	42.114882	-18.267537
-124.561941	42.114899	-18.299029
-124.555900	42.114915	-18.340418
-124.549859	42.114931	-18.394130
-124.543818	42.114947	-18.448032
-124.537777	42.114962	-18.501936
-124.531736	42.114977	-18.584905
-124.525695	42.114992	-18.676923
-124.519654	42.115006	-18.768952
-124.513613	42.115020	-18.879108
-124.507572	42.115034	-19.013451
-124.501531	42.115047	-19.147810
-124.495490	42.115060	-19.288519
-124.489448	42.115073	-19.462961
-124.483407	42.115085	-19.600231
-124.477366	42.115098	-19.737516
-124.471325	42.115109	-19.900612
-124.465284	42.115121	-20.067042
-124.459243	42.115132	-20.200068
-124.453202	42.115143	-20.343093
-124.447161	42.115153	-20.492377
-124.441120	42.115164	-20.641701
-124.435078	42.115174	-20.773017
-124.429037	42.115183	-20.908938
-124.422996	42.115192	-21.044890
-124.416955	42.115201	-21.180873
-124.410914	42.115210	-21.303908
-124.404873	42.115218	-21.426961
-124.398832	42.115226	-21.550037
-124.392790	42.115234	-21.673300
-124.386749	42.115241	-21.789451
-124.380708	42.115248	-21.905637
-124.374667	42.115255	-22.021911
-124.368626	42.115262	-22.138258
-124.362585	42.115268	-22.255095
-124.628420	42.119193	-17.917771
-124.622378	42.119213	-17.969330
-124.616337	42.119232	-18.020894
-124.610295	42.119252	-18.055939
-124.604254	42.119270	-18.096218
-124.598213	42.119289	-18.136502
-124.592171	42.119307	-18.168935
-124.586130	42.119325	-18.194779
-124.580088	42.119342	-18.231660
-124.574047	42.119360	-18.267402
-124.568006	42.119377	-18.299957
-124.561964	42.119393	-18.332511
-124.555923	42.119409	-18.376491
-124.549881	42.119425	-18.432801
-124.543840	42.119441	-18.489302
-124.537798	42.119456	-18.545804
-124.531757	42.119471	-18.631393
-124.525715	42.119486	-18.726089
-124.519674	42.119500	-18.820794
-124.513632	42.119514	-18.933755
-124.507591	42.119528	-19.069780
-124.501549	42.119542	-19.205822
-124.495508	42.119555	-19.348257
-124.489466	42.119567	-19.524648
